scene,width,height,spp,depth,threads,schedule,tile_size,run,ms,pixels_per_sec
medium,800,450,16,8,1,serial,32,1,6295.128,57187.1
medium,800,450,16,8,1,serial,32,2,6232.447,57762.2
medium,800,450,16,8,1,serial,32,3,6313.891,57017.1
medium,800,450,16,8,1,serial,32,4,6300.704,57136.5
medium,800,450,16,8,1,serial,32,5,6210.797,57963.6
medium,800,450,16,8,2,serial,32,1,6126.916,58757.1
medium,800,450,16,8,2,serial,32,2,6269.889,57417.3
medium,800,450,16,8,2,serial,32,3,6271.284,57404.5
medium,800,450,16,8,2,serial,32,4,6347.777,56712.8
medium,800,450,16,8,2,serial,32,5,6232.161,57764.9
medium,800,450,16,8,4,serial,32,1,6079.790,59212.6
medium,800,450,16,8,4,serial,32,2,6261.383,57495.3
medium,800,450,16,8,4,serial,32,3,6280.038,57324.5
medium,800,450,16,8,4,serial,32,4,6309.743,57054.6
medium,800,450,16,8,4,serial,32,5,6460.438,55723.8
medium,800,450,16,8,8,serial,32,1,6123.268,58792.1
medium,800,450,16,8,8,serial,32,2,6263.653,57474.5
medium,800,450,16,8,8,serial,32,3,6262.110,57488.6
medium,800,450,16,8,8,serial,32,4,6300.579,57137.6
medium,800,450,16,8,8,serial,32,5,6315.462,57003.0
medium,800,450,16,8,16,serial,32,1,6043.710,59566.1
medium,800,450,16,8,16,serial,32,2,6264.382,57467.8
medium,800,450,16,8,16,serial,32,3,6243.796,57657.2
medium,800,450,16,8,16,serial,32,4,6282.300,57303.9
medium,800,450,16,8,16,serial,32,5,6488.714,55480.9
medium,800,450,16,8,1,dynamic,32,1,6030.550,59696.0
medium,800,450,16,8,1,dynamic,32,2,6414.719,56120.9
medium,800,450,16,8,1,dynamic,32,3,6259.108,57516.2
medium,800,450,16,8,1,dynamic,32,4,6311.437,57039.3
medium,800,450,16,8,1,dynamic,32,5,6378.105,56443.1
medium,800,450,16,8,2,dynamic,32,1,3189.802,112859.7
medium,800,450,16,8,2,dynamic,32,2,3025.484,118989.2
medium,800,450,16,8,2,dynamic,32,3,3198.857,112540.2
medium,800,450,16,8,2,dynamic,32,4,3179.801,113214.6
medium,800,450,16,8,2,dynamic,32,5,3279.156,109784.4
medium,800,450,16,8,4,dynamic,32,1,1603.970,224443.1
medium,800,450,16,8,4,dynamic,32,2,1640.461,219450.6
medium,800,450,16,8,4,dynamic,32,3,1638.655,219692.4
medium,800,450,16,8,4,dynamic,32,4,1701.618,211563.4
medium,800,450,16,8,4,dynamic,32,5,1721.397,209132.5
medium,800,450,16,8,8,dynamic,32,1,891.125,403983.5
medium,800,450,16,8,8,dynamic,32,2,889.408,404763.6
medium,800,450,16,8,8,dynamic,32,3,884.605,406961.2
medium,800,450,16,8,8,dynamic,32,4,933.882,385487.7
medium,800,450,16,8,8,dynamic,32,5,899.000,400444.9
medium,800,450,16,8,16,dynamic,32,1,502.666,716181.1
medium,800,450,16,8,16,dynamic,32,2,506.562,710672.9
medium,800,450,16,8,16,dynamic,32,3,486.529,739935.3
medium,800,450,16,8,16,dynamic,32,4,508.917,707385.2
medium,800,450,16,8,16,dynamic,32,5,510.686,704933.5
